"MONTH","YEAR","ave_precip_mo","ave_mo_t","opium_t","mj_t","coca_t","fips"
10,1997,3.01818181818182,18.4090909090909,10,11,5,"AR"
10,1998,6.94666666666667,21.4227272727273,8,11,8,"AR"
10,1999,0.533333333333333,19.0571428571429,5,7,6,"AR"
10,2000,2.5,18.775,10,12,5,"AR"
10,2001,11.5384615384615,20.0722222222222,8,9,5,"AR"
10,2002,0.826086956521739,22.4916666666667,3,5,4,"AR"
10,2003,0.12,22.3181818181818,8,11,9,"AR"
10,2004,2.85384615384615,19.5333333333333,8,9,6,"AR"
10,2005,7.59,17.65,6,6,3,"AR"
10,2006,1.36,23.3375,2,4,3,"AR"
10,2007,8.375,20.2642857142857,10,14,8,"AR"
10,2008,9.7,20.7307692307692,11,13,12,"AR"
10,2009,0,27.125,1,1,1,"AR"
10,2010,7.25833333333333,18.5625,12,12,8,"AR"
10,2011,7.9,18.8966666666667,15,15,10,"AR"
10,2012,3.03571428571429,19.3458333333333,11,12,8,"AR"
